,City (rus),City (eng),Tariffs (rus),Tariffs (eng),website
315,Истра,Istra,"Эконом, Комфорт, Комфорт+, Business, Premier, Élite, Детский, Cruise, Доставка, Грузовой, Курьер","econom, business, comfortplus, vip, ultimate, maybach, child_tariff, premium_van, express, cargo, courier",https://taxi.yandex.ru/istra/tariff
316,Ишим,Ishim,"Эконом, Комфорт, Курьер, Доставка","econom, business, courier, express",https://taxi.yandex.ru/ishim/tariff
317,Ишимбай,Ishimbay,"Эконом, Комфорт, Курьер, Доставка","econom, business, courier, express",https://taxi.yandex.ru/ishimbay/tariff
318,Йошкар-Ола,Yoshkar-Ola,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/yoshkarola/tariff
319,Кабардино-Балкарская республика,Kabardino-Balkarskaya respublika,Эконом,econom,https://taxi.yandex.ru/kabardinobalkariya_region/tariff
320,Казань,Kazan,"Эконом, Комфорт, Комфорт+, Business, Детский, Доставка, Грузовой, Курьер","econom, business, comfortplus, vip, child_tariff, express, cargo, courier",https://taxi.yandex.ru/kazan/tariff
321,"Казань, стадион Татнефть Арена","Kazan, stadion Tatneft Arena",Эконом,econom,https://taxi.yandex.ru/kazan_arena/tariff
322,Калач,Kalach,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kalach/tariff
323,Калач на Дону,Kalacz na Donu,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/kalach_na_donu/tariff
324,Калачинск,Kalachinsk,Эконом,econom,https://taxi.yandex.ru/kalachinsk/tariff
325,Калининград,Kaliningrad,"Эконом, Комфорт, Комфорт+, Минивэн, Детский, Доставка, Курьер","econom, business, comfortplus, minivan, child_tariff, express, courier",https://taxi.yandex.ru/kaliningrad/tariff
326,Калининец,Kalininec,"Эконом, Комфорт, Комфорт+, Детский, Минивэн, Грузовой, Доставка, Курьер","econom, business, comfortplus, child_tariff, minivan, cargo, express, courier",https://taxi.yandex.ru/kalininec/tariff
327,Калтан,Kaltan,Эконом,econom,https://taxi.yandex.ru/kaltan/tariff
328,Калуга,Kaluga,"Эконом, Комфорт, Детский, Грузовой, Доставка, Курьер","econom, business, child_tariff, cargo, express, courier",https://taxi.yandex.ru/kaluga/tariff
329,Калужская область,Kaluzhskaya oblast,Эконом,econom,https://taxi.yandex.ru/kaluga_region/tariff
330,Камбарка,Kambarka,Эконом,econom,https://taxi.yandex.ru/kambarka/tariff
331,Каменка,Kamenka,Эконом,econom,https://taxi.yandex.ru/kamenka/tariff
332,Каменск-Уральский,Kamensk-Uralsky,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/kamenskuralsky/tariff
333,Каменск-Шахтинский,Kamensk-Shakhtinsky,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/kamensk-shakhtinsky/tariff
334,Камень-на-Оби,Kamen-na-Obi,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kamen-na-obi/tariff
335,Камызяк,Kamyzyak,Эконом,econom,https://taxi.yandex.ru/kamyzyak/tariff
336,Камышин,Kamyshin,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/kamyshin/tariff
337,Камышлов,Kamyshlov,Эконом,econom,https://taxi.yandex.ru/kamyshlov/tariff
338,Канаш,Kanash,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kanash/tariff
339,Кандалакша,Kandalaksha,Эконом,econom,https://taxi.yandex.ru/kandalaksha/tariff
340,Каневская,Kanevskaya,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kanevskaja/tariff
341,Канск,Kansk,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/kansk/tariff
342,Кантемировка,Kantemirovka,Эконом,econom,https://taxi.yandex.ru/kantemirovka/tariff
343,Кантышево,Kantyshevo,Эконом,econom,https://taxi.yandex.ru/kantyshevo/tariff
344,Карабаш,Karabash,Эконом,econom,https://taxi.yandex.ru/karabash/tariff
345,Карабудахкент,Karabudahkent,Эконом,econom,https://taxi.yandex.ru/karabudahkent/tariff
346,Карасук,Karasuk,Эконом,econom,https://taxi.yandex.ru/karasuk/tariff
347,Карачаево-Черкесская республика,Karaczaevo-Czerkesskaya respublika,-,-,Not supported
348,Карачаевск,Karachayevsk,Эконом,econom,https://taxi.yandex.ru/karachaevsk/tariff
349,Карачев,Karachev,Эконом,econom,https://taxi.yandex.ru/karachev/tariff
350,Кармаскалы,Karmaskaly,Эконом,econom,https://taxi.yandex.ru/karmaskaly/tariff
351,Карпинск,Karpinsk,Эконом,econom,https://taxi.yandex.ru/karpinsk/tariff
352,Касимов,Kasimov,Эконом,econom,https://taxi.yandex.ru/kasimov/tariff
353,Касли,Kasli,Эконом,econom,https://taxi.yandex.ru/kasli/tariff
354,Каспийск,Kaspiysk,"Эконом, Комфорт, Старт, Доставка, Курьер","econom, business, start, express, courier",https://taxi.yandex.ru/kaspiysk/tariff
355,Качканар,Kachkanar,Эконом,econom,https://taxi.yandex.ru/kachkanar/tariff
356,Кашхатау,Kashhatau,Эконом,econom,https://taxi.yandex.ru/kashkhatau/tariff
357,Кемерово,Kemerovo,"Эконом, Комфорт, Детский, Грузовой, Доставка, Курьер","econom, business, child_tariff, cargo, express, courier",https://taxi.yandex.ru/kemerovo/tariff
358,Кемеровская область,Kemerovskaya oblast,Эконом,econom,https://taxi.yandex.ru/kemerovo_region/tariff
359,Кизел,Kizel,Эконом,econom,https://taxi.yandex.ru/kizel/tariff
360,Кизилюрт,Kizilyurt,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kizilyurt/tariff
361,Кизляр,Kizlyar,Эконом,econom,https://taxi.yandex.ru/kizlyar/tariff
362,Кимры,Kimry,Эконом,econom,https://taxi.yandex.ru/kimry/tariff
363,Кингисепп,Kingisepp,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kingisepp/tariff
364,Кинель,Kinel,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/kinel/tariff
365,Кинешма,Kineshma,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kineshma/tariff
366,Киржач,Kirzhach,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kirzach/tariff
367,Кириши,Kirishi,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kirishi/tariff
368,Киров,Kirov,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/kirov/tariff
369,Кировград,Kirovgrad,Эконом,econom,https://taxi.yandex.ru/kirovgrad/tariff
370,Кирово-Чепецк,Kirovo-Chepetsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kirovochepetsk/tariff
371,Кировск,Kirovsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kirovsk/tariff
372,Кировск Мурманская область,Kirovsk Murmanskaya oblast,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kirovsk_murmansk_obl/tariff
373,Кировская область,Kirovskaya oblast,Эконом,econom,https://taxi.yandex.ru/kirov_region/tariff
374,Киселевск,Kiselevsk,Эконом,econom,https://taxi.yandex.ru/kiselevsk/tariff
375,Кисловодск,Kislovodsk,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/kislovodsk/tariff
376,Клин,Klin,"Эконом, Комфорт, Комфорт+, Детский, Грузовой, Доставка, Курьер","econom, business, comfortplus, child_tariff, cargo, express, courier",https://taxi.yandex.ru/klin/tariff
377,Клинцы,Klintsy,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/klincy/tariff
378,Ковров,Kovrov,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kovrov/tariff
379,Ковылкино,Kovylkino,Эконом,econom,https://taxi.yandex.ru/kovylkino/tariff
380,Колодезный,Kolodeznyy,Эконом,econom,https://taxi.yandex.ru/kolodeznyij/tariff
381,Козельск,Kozelsk,Эконом,econom,https://taxi.yandex.ru/kozelsk/tariff
382,Козьмодемьянск,Kozmodemyansk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kozmodemyansk/tariff
383,Колодезный,Kolodeznyy,Эконом,econom,https://taxi.yandex.ru/kolodeznyij/tariff
384,Коломна,Kolomna,"Эконом, Комфорт, Комфорт+, Детский, Доставка, Курьер","econom, business, comfortplus, child_tariff, express, courier",https://taxi.yandex.ru/kolomna/tariff
385,Колпашево,Kolpashevo,Эконом,econom,https://taxi.yandex.ru/kolpashevo/tariff
386,Колпино,Kolpino,"Эконом, Комфорт, Детский, Грузовой, Доставка, Курьер","econom, business, child_tariff, cargo, express, courier",https://taxi.yandex.ru/kolpino/tariff
387,Колывань,Kolyvan,Эконом,econom,https://taxi.yandex.ru/kolyvan/tariff
388,Кольчугино,Kolchugino,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/kolchugino/tariff
389,Комсомольск-на-Амуре,Komsomolsk-on-Amur,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/komsomolsknaamure/tariff
390,Конаково,Konakovo,Эконом,econom,https://taxi.yandex.ru/konakovo/tariff
391,Кондрово,Kondrovo,Эконом,econom,https://taxi.yandex.ru/kondrovo/tariff
392,Константиновск,Konstantinovsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/konstantinovsk/tariff
393,Кораблино,Korablino,Эконом,econom,https://taxi.yandex.ru/korablino/tariff
394,Кореновск,Korenovsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/korenovsk/tariff
395,Коркино,Korkino,Эконом,econom,https://taxi.yandex.ru/korkino/tariff
396,Кормиловка,Kormilovka,Эконом,econom,https://taxi.yandex.ru/kormilovka/tariff
397,Королёв,Korolyov,"Эконом, Комфорт, Комфорт+, Business, Premier, Élite, Детский, Минивэн, Cruise, Доставка, Курьер, Грузовой","econom, business, comfortplus, vip, ultimate, maybach, child_tariff, minivan, premium_van, express, courier, cargo",https://taxi.yandex.ru/korolev/tariff
398,Корсаков,Korsakov,Эконом,econom,https://taxi.yandex.ru/korsakov/tariff
399,Коряжма,Koryazhma,Эконом,econom,https://taxi.yandex.ru/koryagma/tariff
400,Кострома,Kostroma,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/kostroma/tariff
401,Костромская область,Kostromskaya oblast,Эконом,econom,https://taxi.yandex.ru/kostroma_region/tariff
402,Котельники,Kotelniki,"Эконом, Комфорт, Комфорт+, Premier, Business, Élite, Детский, Минивэн, Cruise, Доставка, Курьер, Грузовой","econom, business, comfortplus, ultimate, vip, maybach, child_tariff, minivan, premium_van, express, courier, cargo",https://taxi.yandex.ru/kotelniki/tariff
403,Котельнич,Kotelnich,Эконом,econom,https://taxi.yandex.ru/kotelnich/tariff
404,Котлас,Kotlas,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/kotlas/tariff
405,Котово,Kotovo,Эконом,econom,https://taxi.yandex.ru/kotovo/tariff
406,Красная Поляна,Krasnaya Polyana,"Эконом, Комфорт, Комфорт+, Business, Premier, Минивэн, Cruise, Детский, Доставка, Грузовой, Курьер","econom, business, comfortplus, vip, ultimate, minivan, premium_van, child_tariff, express, cargo, courier",https://taxi.yandex.ru/krasnayapolyana/tariff
407,Красноармейск,Krasnoarmeysk,"Эконом, Детский, Доставка, Грузовой, Курьер","econom, child_tariff, express, cargo, courier",https://taxi.yandex.ru/krasnoarmeysk/tariff
408,Красноармейск,Krasnoarmeysk,Эконом,econom,https://taxi.yandex.ru/krasnoarmeysk_saratov/tariff
409,Красноармейский район (Волгоград),Krasnoarmeyskiy rayon (Volgograd),"Эконом, Комфорт, Детский, Грузовой, Доставка, Курьер","econom, business, child_tariff, cargo, express, courier",https://taxi.yandex.ru/krasnoarmeysky_volgograd/tariff
410,Краснобродский,Krasnobrodskiy,Эконом,econom,https://taxi.yandex.ru/krasnobrodsky/tariff
411,Красногвардейское,Krasnogvardeyskoe,Эконом,econom,https://taxi.yandex.ru/krasnogvardeyskoe/tariff
412,Красногорск,Krasnogorsk,"Эконом, Комфорт, Комфорт+, Business, Premier, Élite, Детский, Минивэн, Cruise, Доставка, Курьер, Грузовой","econom, business, comfortplus, vip, ultimate, maybach, child_tariff, minivan, premium_van, express, courier, cargo",https://taxi.yandex.ru/krasnogorsk/tariff
413,Краснодар,Krasnodar,"Эконом, Комфорт, Комфорт+, Business, Детский, Грузовой, Доставка, Курьер","econom, business, comfortplus, vip, child_tariff, cargo, express, courier",https://taxi.yandex.ru/krasnodar/tariff
414,Краснодарский край,Krasnodarskiy kray,Эконом,econom,https://taxi.yandex.ru/krasnodar_region/tariff
415,Красное,Krasnoe,Эконом,econom,https://taxi.yandex.ru/krasnoe_lipetsk/tariff
416,Красное Село,Krasnoye Selo,"Эконом, Детский, Грузовой, Доставка, Курьер","econom, child_tariff, cargo, express, courier",https://taxi.yandex.ru/krasnoe_selo/tariff
417,Краснознаменск,Krasnoznamensk,"Эконом, Комфорт, Комфорт+, Business, Premier, Élite, Минивэн, Cruise, Детский, Грузовой, Доставка, Курьер","econom, business, comfortplus, vip, ultimate, maybach, minivan, premium_van, child_tariff, cargo, express, courier",https://taxi.yandex.ru/krasnoznamensk/tariff
418,Краснотурьинск,Krasnoturyinsk,"Эконом, Курьер","econom, courier",https://taxi.yandex.ru/krasnoturinsk/tariff
419,Красноуральск,Krasnouralsk,Эконом,econom,https://taxi.yandex.ru/krasnouralsk/tariff
420,Красноуфимск,Krasnoufimsk,Эконом,econom,https://taxi.yandex.ru/krasnoufimsk/tariff
421,Красноярск,Krasnoyarsk,"Эконом, Комфорт, Комфорт+, Business, Детский, Грузовой, Доставка, Курьер","econom, business, comfortplus, vip, child_tariff, cargo, express, courier",https://taxi.yandex.ru/krasnoyarsk/tariff
422,Красноярский край,Krasnoyarskiy kray,Эконом,econom,https://taxi.yandex.ru/krasnoyarsk_region/tariff
423,Красный Кут,Krasny Kut,"Эконом, Доставка","econom, express",https://taxi.yandex.ru/krasniy_kut/tariff
424,Красный Сулин,Krasny Sulin,Эконом,econom,https://taxi.yandex.ru/krasny_sulin/tariff
425,Кратово,Kratovo,"Эконом, Комфорт, Комфорт+, Business, Минивэн, Детский, Грузовой, Доставка, Курьер","econom, business, comfortplus, vip, minivan, child_tariff, cargo, express, courier",https://taxi.yandex.ru/kratovo/tariff
426,Крестцы,Krestcy,Эконом,econom,https://taxi.yandex.ru/krestsi/tariff
427,Кронштадт,Kronstadt,"Эконом, Грузовой, Доставка, Курьер","econom, cargo, express, courier",https://taxi.yandex.ru/kronstadt/tariff
428,Кропоткин,Kropotkin,"Комфорт, Эконом, Курьер, Доставка","business, econom, courier, express",https://taxi.yandex.ru/kropotkin/tariff
429,Крыловская,Krylovskaya,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/krilovskaya/tariff
430,Крым,Krym,-,-,Not supported
431,Крымск,Krymsk,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/krymsk/tariff
432,Кудымкар,Kudymkar,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kudimkar/tariff
433,Кубинка,Kubinka,"Эконом, Детский, Грузовой, Курьер, Доставка","econom, child_tariff, cargo, courier, express",https://taxi.yandex.ru/kubinka/tariff
434,Кувандык,Kuvandyk,Эконом,econom,https://taxi.yandex.ru/kuvandyk/tariff
435,Кудымкар,Kudymkar,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kudimkar/tariff
436,Куеда,Kueda,Эконом,econom,https://taxi.yandex.ru/kueda/tariff
437,Кузоватово,Kuzovatovo,Эконом,econom,https://taxi.yandex.ru/kuzovatovo/tariff
438,Кузоватово,Kuzovatovo,Эконом,econom,https://taxi.yandex.ru/kuzovatovo/tariff
439,Куйбышев,Kuybyshev,Эконом,econom,https://taxi.yandex.ru/kuybyshev/tariff
440,Кулешовка,Kuleshovka,Эконом,econom,https://taxi.yandex.ru/kuleshovka/tariff
441,Кумертау,Kumertau,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/kumertau/tariff
442,Кумертау,Kumertau,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/kumertau/tariff
443,Кунгур,Kungur,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/kungur/tariff
444,Кунгурский район,Kungurskiy rayon,Эконом,econom,https://taxi.yandex.ru/kungur_district/tariff
445,Курган,Kurgan,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kurgan/tariff
446,Курганинск,Kurganinsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kurganinsk/tariff
447,Курганская область,Kurganskaya oblast,Эконом,econom,https://taxi.yandex.ru/kurgan_region/tariff
448,Куровское,Kurovskoye,"Эконом, Детский, Грузовой, Курьер, Доставка","econom, child_tariff, cargo, courier, express",https://taxi.yandex.ru/kurovskoye/tariff
449,Курортный район,Kurortnyy rayon,"Эконом, Комфорт, Комфорт+, Business, Минивэн, Детский, Доставка, Курьер","econom, business, comfortplus, vip, minivan, child_tariff, express, courier",https://taxi.yandex.ru/kurortny_district/tariff
450,Курск,Kursk,"Эконом, Комфорт, Детский, Доставка, Грузовой, Курьер","econom, business, child_tariff, express, cargo, courier",https://taxi.yandex.ru/kursk/tariff
451,Курская область,Kurskaya oblast,Эконом,econom,https://taxi.yandex.ru/kursk_region/tariff
452,Куртамыш,Kurtamysh,Эконом,econom,https://taxi.yandex.ru/kurtamysh/tariff
453,Курчатов,Kurchatov,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kurchatov/tariff
454,Кучугуры,Kuczugury,Эконом,econom,https://taxi.yandex.ru/kuchugury/tariff
455,Кущевская,Kusczevskaya,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/kushevskaya/tariff
456,Кызыл,Kyzyl,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/kizil/tariff
457,Кыштым,Kyshtym,Эконом,econom,https://taxi.yandex.ru/kyshtym/tariff
458,Лабинск,Labinsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/labinsk/tariff
459,Лабытнанги,Labytnangi,Эконом,econom,https://taxi.yandex.ru/labytnangi/tariff
460,Ладожская,Ladozhskaya,Эконом,econom,https://taxi.yandex.ru/ladozhskaya/tariff
461,Лазаревское,Lazarevskoe,"Эконом, Доставка","econom, express",https://taxi.yandex.ru/lazarevskoye/tariff
462,Лакинск,Lakinsk,Эконом,econom,https://taxi.yandex.ru/lakinsk/tariff
463,Лангепас,Langepas,Эконом,econom,https://taxi.yandex.ru/langepas/tariff
464,Лебедянь,Lebedyan,Эконом,econom,https://taxi.yandex.ru/lebedyan/tariff
465,Ленинградская,Leningradskaya,Эконом,econom,https://taxi.yandex.ru/leningradskaya/tariff
466,Лениногорск,Leninogorsk,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/leninigorsk/tariff
467,Ленинск,Leninsk,Эконом,econom,https://taxi.yandex.ru/leninsk/tariff
468,Ленинск-Кузнецкий,Leninsk-Kuznetsky,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/leninsk-kuzneckij/tariff
469,Ленск,Lensk,Эконом,econom,https://taxi.yandex.ru/lensk/tariff
470,Лермонтово,Lermontovo,Эконом,econom,https://taxi.yandex.ru/lermontovo/tariff
471,Лесной,Lesnoy,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/lesnoy/tariff
472,Лесозаводск,Lesozavodsk,Эконом,econom,https://taxi.yandex.ru/lesozavodsk/tariff
473,Лесосибирск,Lesosibirsk,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/lesosibirsk/tariff
474,Ливны,Livny,Эконом,econom,https://taxi.yandex.ru/livny/tariff
475,Ликино-Дулево,Likino-Dulevo,"Эконом, Детский, Грузовой, Курьер, Доставка","econom, child_tariff, cargo, courier, express",https://taxi.yandex.ru/likino_dulyovo/tariff
476,Линёво,Linyovo,Эконом,econom,https://taxi.yandex.ru/linyovo/tariff
477,Липецк,Lipetsk,"Эконом, Комфорт, Комфорт+, Детский, Доставка, Курьер","econom, business, comfortplus, child_tariff, express, courier",https://taxi.yandex.ru/lipetsk/tariff
478,Липецкая область,Lipeckaya oblast,Эконом,econom,https://taxi.yandex.ru/lipetsk_region/tariff
479,Лиски,Liski,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/lisky/tariff
480,Лобня,Lobnya,"Эконом, Комфорт, Комфорт+, Business, Детский, Минивэн, Доставка, Курьер, Грузовой","econom, business, comfortplus, vip, child_tariff, minivan, express, courier, cargo",https://taxi.yandex.ru/lobnja/tariff
481,Лодейное Поле,Lodeynoye Pole,"Эконом, Доставка","econom, express",https://taxi.yandex.ru/lodeynoe_pole/tariff
482,Лосино-Петровский,Losino-Petrovsky,"Эконом, Комфорт, Комфорт+, Детский, Грузовой, Доставка, Курьер","econom, business, comfortplus, child_tariff, cargo, express, courier",https://taxi.yandex.ru/losino_petrovsky/tariff
483,Луга,Luga,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/luga/tariff
484,Лукоянов,Lukoyanov,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/lukoyanov/tariff
485,Луховицы,Lukhovitsy,"Эконом, Детский, Грузовой, Курьер, Доставка","econom, child_tariff, cargo, courier, express",https://taxi.yandex.ru/lukhovitsy/tariff
486,Лысково,Lyskovo,Эконом,econom,https://taxi.yandex.ru/lyskovo/tariff
487,Лысьва,Lysva,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/lysva/tariff
488,Лыткарино,Lytkarino,"Эконом, Комфорт, Комфорт+, Business, Детский, Минивэн, Доставка, Курьер, Грузовой","econom, business, comfortplus, vip, child_tariff, minivan, express, courier, cargo",https://taxi.yandex.ru/lytkarino/tariff
489,Львовское,Lvovskoe,Эконом,econom,https://taxi.yandex.ru/lvovskoe/tariff
490,Льгов,Lgov,Эконом,econom,https://taxi.yandex.ru/lgov/tariff
491,Люберцы,Lyubertsy,"Эконом, Комфорт, Комфорт+, Business, Premier, Élite, Детский, Минивэн, Cruise, Доставка, Курьер, Грузовой","econom, business, comfortplus, vip, ultimate, maybach, child_tariff, minivan, premium_van, express, courier, cargo",https://taxi.yandex.ru/lyberci/tariff
492,Любинский,Lyubinskiy,Эконом,econom,https://taxi.yandex.ru/lyubinsky/tariff
493,Людиново,Lyudinovo,Эконом,econom,https://taxi.yandex.ru/lyudinovo/tariff
494,Лянтор,Lyantor,Эконом,econom,https://taxi.yandex.ru/lyantor/tariff
495,Магадан,Magadan,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/magadan/tariff
496,Магас,Magas,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/magas/tariff
497,Магнитогорск,Magnitogorsk,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/magnitogorsk/tariff
498,Майкоп,Maykop,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/maikop/tariff
499,Майский,Maysky,Эконом,econom,https://taxi.yandex.ru/mayskiy/tariff
500,Малая Вишера,Malaya Vishera,Эконом,econom,https://taxi.yandex.ru/malaya_vishera/tariff
501,Малгобек,Malgobek,Эконом,econom,https://taxi.yandex.ru/malgobek/tariff
502,Малино,Malino,"Эконом, Грузовой, Детский, Курьер, Доставка","econom, cargo, child_tariff, courier, express",https://taxi.yandex.ru/malino/tariff
503,Малоярославец,Maloyaroslavets,Эконом,econom,https://taxi.yandex.ru/maloyaroslavets/tariff
504,Мамедкала,Mamedkala,Эконом,econom,https://taxi.yandex.ru/mamedkala/tariff
505,Мариинск,Mariinsk,Эконом,econom,https://taxi.yandex.ru/mariinsk/tariff
506,Мариинский Посад,Mariinsky Posad,Эконом,econom,https://taxi.yandex.ru/mariinskiy_posad/tariff
507,Маркс,Marks,Эконом,econom,https://taxi.yandex.ru/marks/tariff
508,Маслянино,Maslyanino,Эконом,econom,https://taxi.yandex.ru/maslyanino/tariff
509,Матвеев Курган,Matveev Kurgan,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/matveev_kurgan/tariff
510,Махачкала,Makhachkala,"Эконом, Комфорт, Комфорт+, Детский, Старт, Доставка, Курьер","econom, business, comfortplus, child_tariff, start, express, courier",https://taxi.yandex.ru/makhachkala/tariff
511,Мегион,Megion,Эконом,econom,https://taxi.yandex.ru/megion/tariff
512,Медногорск,Mednogorsk,Эконом,econom,https://taxi.yandex.ru/mednogorsk/tariff
513,Междуреченск,Mezhdurechensk,"Эконом, Курьер","econom, courier",https://taxi.yandex.ru/mezgdurechensk/tariff
514,Мелеуз,Meleuz,"Эконом, Комфорт, Курьер, Доставка","econom, business, courier, express",https://taxi.yandex.ru/meleuz/tariff
515,Менделеево,Mendeleevo,"Эконом, Комфорт, Комфорт+, Детский, Грузовой, Доставка, Курьер","econom, business, comfortplus, child_tariff, cargo, express, courier",https://taxi.yandex.ru/mendeleevo/tariff
516,Менделеевск,Mendeleyevsk,Эконом,econom,https://taxi.yandex.ru/mendeleevsk/tariff
517,Минеральные Воды,Mineralnye Vody,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/myneralnyevody/tariff
518,Миасс,Miass,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/miass/tariff
519,Миллерово,Millerovo,Эконом,econom,https://taxi.yandex.ru/millerovo/tariff
520,Минеральные Воды,Mineralnye Vody,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/myneralnyevody/tariff
521,Минусинск,Minusinsk,"Эконом, Комфорт, Доставка, Курьер","econom, business, express, courier",https://taxi.yandex.ru/minusinsk/tariff
522,Мирный,Mirny,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/mirnyy/tariff
523,Мирный (Якутская область),Mirnyy (Yakutskaya oblast),"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/mirny/tariff
524,Михайловка,Mikhaylovka,"Эконом, Курьер, Доставка","econom, courier, express",https://taxi.yandex.ru/mihaylovka/tariff
525,Михайловск,Mikhaylovsk,"Эконом, Комфорт, Детский, Доставка, Курьер","econom, business, child_tariff, express, courier",https://taxi.yandex.ru/mikhaylovsk/tariff
526,Михнево,Mihnevo,"Эконом, Детский, Грузовой, Курьер, Доставка","econom, child_tariff, cargo, courier, express",https://taxi.yandex.ru/mikhnevo/tariff
527,Мичуринск,Michurinsk,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/michurinsk/tariff
528,Можайск,Mozhaysk,"Эконом, Детский, Доставка, Грузовой, Курьер","econom, child_tariff, express, cargo, courier",https://taxi.yandex.ru/mozhaysk/tariff
529,Можга,Mozhga,"Эконом, Доставка, Курьер","econom, express, courier",https://taxi.yandex.ru/mozhga/tariff
530,Моздок,Mozdok,Эконом,econom,https://taxi.yandex.ru/mozdok/tariff
